Cluster	Mass	RA	DEC	NMem	<RV>	ERV	R_Sun	R_GC		DM	V	M/L_V	DM/L	rc	"rh,m"	"rh,l"	rho_c	"rho_h,m"	lg Trh	MF	sig0	vesc	etac	etah
Name	[Msun]				[km/s]	[km/s]	[kpc]	[kpc]		[Msun]	[mag]	[Ms/Ls]	[Ms/Ls]	[pc]	[pc]	[pc]	[Ms/pc3]	[Ms/pc3]	[yr]	Slope	[km/s]	[km/s]		
Arp 2	1.09E+05	292.18381	-30.35564	65	122.5	0.3	32.36	24.71		3.12E+04	12.60   0.21	10.03	3.47	11.21	23.58	16.74	0.4	-0.04	10.32	-1.5	2	6.9	-0.19	-0.04
E 3	3.06E+04	140.23779	-77.28189	35	4.8	0.5	8.09	9.4		1.69E+04	11.35   0.20	8.08	4.7	2.77	8.23	5.45	1.69	0.95	9.26	-0.55	1.8	6.5	-0.29	-0.1
ESO 452	1.06E+04	249.85417	-28.39917	13	16.4	0.4	7.8	2.17		5.68E+03	12.05   0.20	3.38	1.91	0.16	5.21	3.66	4.06	1.02	8.73	-0.05	1.6	6.3	-0.33	-0.12
ESO 452	2.27E+04	272.275	-46.42333	13	93.2	0.5	22.9	15.05		1.68E+04	12.00   0.20	2.61	2	2.6	9.86	7.49	1.42	0.47	9.26	0	1.4	5.3	-0.3	-0.06
HP 1	1.11E+05	262.77167	-29.98167	24	40.1	1.1	6.8	1.76		3.79E+04	11.59   0.20	5.04	1.95	0.27	3.86	2.55	5.16	2.41	8.95	-0.26	5.5	21.3	-0.36	-0.1
IC 1276	5.46E+04	272.68417	-7.20761	16	155.3	0.9	4	5.04		2.60E+04	10.08   0.23	1.99	1.04	1.05	4.6	3.16	3.38	2.29	8.9	-0.21	3.3	12.3	-0.34	-0.11
IC 4499	1.67E+05	225.07688	-82.21369	37	38.7	0.5	18.2	15.09		4.66E+04	9.66   0.22	2.25	0.78	5.3	14.84	9.83	1.47	0.8	10.06	-1.31	3.1	11.2	-0.24	-0.04
Lil 1	6.66E+05	263.35233	-33.38956	64	58.2	2.2	8.1	0.85		1.17E+05	15.40   0.10	1.48	0.29	0.06	1.57	1.11	7.85	4.91	8.61	0.07	23.2	94.3	-0.33	-0.1
NGC 104	7.79E+05	6.02363	-72.08128	2896	-17.2	0.1	4.41	7.78		4.71E+03	4.07   0.11	1.77	0.16	0.49	5.62	3.57	5.31	2.72	9.58	-0.53	12.2	49.9	-0.41	-0.04
NGC 1261	1.67E+05	48.06754	-55.21622	231	71.5	0.3	15.49	17.62		1.73E+04	8.57   0.18	2.12	0.38	1.19	4.72	3.08	3.33	2.33	9.19	-0.53	5.6	21.2	-0.35	-0.1
