# Name                 	     RA	    DEC	      D	   Vlos	  eVlos	   PMRA	  PMDEC	  ePMRA	 ePMDEC	 corrPM	 radius	Nmember
#                      	    deg	    deg	    kpc	   km/s	   km/s	 mas/yr	 mas/yr	 mas/yr	 mas/yr	dimless	 arcmin	dimless
NGC 104 (47 Tuc)       	  6.024	-72.081	    4.5	  -17.2	    0.1	  5.261	 -2.517	  0.002	  0.002	 -0.027	   40.0	  63313
NGC 288                	 13.188	-26.583	    8.9	  -44.8	    0.1	  4.243	 -5.642	  0.005	  0.004	  0.198	    8.0	   6166
NGC 362                	 15.809	-70.849	    8.6	  223.5	    0.3	  6.721	 -2.519	  0.007	  0.005	 -0.040	   12.0	   6388
Whiting 1              	 30.738	 -3.253	   30.1	 -130.6	    1.8	 -0.197	 -1.756	  0.088	  0.064	 -0.073	    3.0	     39
NGC 1261               	 48.068	-55.216	   16.3	   71.5	    0.3	  1.632	 -2.028	  0.006	  0.006	  0.152	    6.0	   1865
Pal 1                  	 53.334	 79.581	   11.1	  -82.8	    3.3	 -0.176	  0.086	  0.037	  0.055	  0.017	    2.0	     56
E 1 (AM 1)             	 58.760	-49.615	  123.3	  116.0	   20.0	  0.337	 -0.385	  0.122	  0.168	 -0.130	    2.5	     37
Eridanus               	 66.185	-21.187	   90.1	  -23.6	    2.1	  0.491	 -0.372	  0.050	  0.056	 -0.317	    4.0	     31
Pal 2                  	 71.525	 31.381	   27.2	 -134.9	    1.2	  1.062	 -1.578	  0.041	  0.025	  0.023	    3.0	    172
NGC 1851               	 78.528	-40.047	   12.1	  320.2	    0.2	  2.138	 -0.628	  0.007	  0.007	 -0.101	   10.0	   4639
NGC 1904 (M 79)        	 81.046	-24.525	   12.9	  205.6	    0.2	  2.475	 -1.574	  0.006	  0.007	 -0.033	    8.0	   2747
NGC 2298               	102.248	-36.005	   10.8	  144.7	    0.4	  3.281	 -2.191	  0.006	  0.006	  0.031	    6.0	   1492
NGC 2419               	114.535	 38.882	   82.6	  -20.6	    0.2	 -0.027	 -0.534	  0.017	  0.011	  0.108	    5.0	    826
Pyxis                  	136.991	-37.221	   39.4	   40.4	    0.2	  1.079	  0.240	  0.041	  0.038	  0.393	    2.0	     59
NGC 2808               	138.013	-64.864	    9.6	  103.7	    0.3	  1.018	  0.270	  0.006	  0.006	 -0.076	   12.0	   8385
E 3 (ESO 37-1)         	140.238	-77.282	    8.1	    4.8	    0.5	 -2.694	  7.115	  0.014	  0.014	 -0.153	    4.0	    338
Pal 3                  	151.383	  0.072	   92.5	   89.9	    1.2	  0.087	 -0.085	  0.133	  0.157	 -0.510	    3.0	     36
NGC 3201               	154.403	-46.412	    4.9	  494.3	    0.1	  8.336	 -1.982	  0.003	  0.003	  0.090	   20.0	  19316
Pal 4                  	172.320	 28.974	  108.7	   72.7	    0.3	 -0.145	 -0.516	  0.085	  0.168	 -0.646	    4.0	     30
Crater (Laevens 1)     	174.067	-10.877	  145.0	  148.2	    1.1	 -0.060	 -0.098	  0.275	  0.168	 -0.167	    3.0	     10
NGC 4147               	182.526	 18.543	   19.3	  179.1	    0.3	 -1.702	 -2.108	  0.016	  0.010	 -0.147	    4.0	    570
NGC 4372               	186.439	-72.659	    5.8	   75.3	    0.3	 -6.384	  3.355	  0.004	  0.004	  0.020	   12.0	  11153
Rup 106                	189.667	-51.150	   21.2	  -38.4	    0.3	 -1.264	  0.391	  0.013	  0.009	  0.606	    3.0	    442
NGC 4590 (M 68)        	189.867	-26.744	   10.3	  -93.2	    0.2	 -2.768	  1.790	  0.006	  0.005	 -0.317	    8.0	   3687
NGC 4833               	194.891	-70.876	    6.6	  202.0	    0.4	 -8.356	 -0.961	  0.005	  0.005	  0.103	   10.0	   5776
NGC 5024 (M 53)        	198.230	 18.168	   17.9	  -63.1	    0.2	 -0.151	 -1.350	  0.006	  0.004	 -0.261	   10.0	   4784
NGC 5053               	199.113	 17.700	   17.4	   42.5	    0.2	 -0.353	 -1.257	  0.009	  0.007	 -0.334	    6.0	   1942
NGC 5139 (omega Cen)   	201.697	-47.480	    5.2	  232.7	    0.2	 -3.215	 -6.761	  0.003	  0.003	 -0.119	   40.0	  68783
NGC 5272 (M 3)         	205.548	 28.377	   10.2	 -147.2	    0.2	 -0.094	 -2.626	  0.004	  0.003	 -0.064	   20.0	  12391
NGC 5286               	206.612	-51.374	   11.7	   62.2	    0.4	  0.221	 -0.163	  0.009	  0.009	 -0.026	    6.0	   2066
NGC 5466               	211.364	 28.534	   16.0	  106.9	    0.1	 -5.405	 -0.800	  0.005	  0.005	  0.099	    8.0	   3030
NGC 5634               	217.405	 -5.976	   25.2	  -16.2	    0.5	 -1.732	 -1.523	  0.011	  0.009	 -0.010	    3.0	    597
NGC 5694               	219.901	-26.539	   35.0	 -139.4	    0.4	 -0.440	 -1.088	  0.024	  0.022	 -0.374	    3.0	    245
IC 4499                	225.077	-82.214	   18.8	   38.7	    0.5	  0.477	 -0.495	  0.006	  0.007	  0.134	    6.0	   1257
NGC 5824               	225.994	-33.068	   32.1	  -25.5	    0.5	 -1.184	 -2.227	  0.014	  0.010	  0.158	    4.0	    894
Pal 5                  	229.022	 -0.112	   23.2	  -58.4	    0.3	 -2.728	 -2.687	  0.022	  0.025	 -0.390	    6.0	    242
NGC 5897               	229.352	-21.010	   12.5	  101.2	    0.2	 -5.408	 -3.457	  0.007	  0.006	 -0.143	    8.0	   3808
NGC 5904 (M 5)         	229.638	  2.081	    7.5	   53.8	    0.2	  4.080	 -9.867	  0.004	  0.004	 -0.037	   20.0	  14254
NGC 5927               	232.003	-50.673	    7.7	 -104.1	    0.3	 -5.064	 -3.207	  0.010	  0.009	 -0.110	    8.0	   3029
NGC 5946               	233.869	-50.660	   10.6	  128.4	    1.8	 -5.294	 -1.626	  0.016	  0.014	 -0.155	    4.0	    468
ESO 224-8 (BH 176)     	234.781	-50.053	   18.9	   -6.0	   14.0	 -3.989	 -3.067	  0.037	  0.030	  0.099	    2.0	    165
NGC 5986               	236.512	-37.786	   10.4	  101.0	    0.4	 -4.186	 -4.573	  0.010	  0.008	 -0.154	    6.0	   2482
BH 184 (Lynga 7)       	242.765	-55.318	    8.0	    8.0	    5.0	 -3.843	 -7.040	  0.014	  0.012	 -0.234	    3.0	    327
Pal 14 (Arp 1)         	242.752	 14.958	   76.5	   72.2	    0.2	 -0.503	 -0.488	  0.051	  0.046	  0.437	    5.0	     80
NGC 6093 (M 80)        	244.260	-22.976	   10.0	   11.2	    0.4	 -2.941	 -5.588	  0.012	  0.010	  0.008	    6.0	   2309
NGC 6121 (M 4)         	245.897	-26.526	    2.2	   71.0	    0.1	-12.484	-18.983	  0.005	  0.004	  0.023	   20.0	  18796
NGC 6101               	246.451	-72.202	   15.4	  361.4	    1.7	  1.760	 -0.216	  0.004	  0.004	  0.044	    6.0	   3216
NGC 6144               	246.808	-26.023	    8.9	  196.0	    0.7	 -1.736	 -2.631	  0.009	  0.007	  0.085	    4.0	   1478
NGC 6139               	246.918	-38.849	   10.1	   25.0	    0.8	 -6.168	 -2.654	  0.015	  0.013	  0.115	    4.0	    869
Terzan 3               	247.167	-35.353	    8.2	 -135.7	    0.6	 -5.606	 -1.701	  0.013	  0.010	  0.114	    4.0	    837
NGC 6171 (M 107)       	248.133	-13.054	    6.4	  -34.7	    0.2	 -1.909	 -5.976	  0.008	  0.006	 -0.040	    6.0	   4274
ESO 452-11 (1636-283)  	249.856	-28.399	    8.3	   16.4	    0.4	 -1.536	 -6.428	  0.026	  0.021	 -0.117	    2.0	    128
NGC 6205 (M 13)        	250.422	 36.460	    7.1	 -244.4	    0.3	 -3.172	 -2.586	  0.004	  0.005	  0.152	   15.0	  16325
NGC 6229               	251.745	 47.528	   30.5	 -138.3	    0.8	 -1.185	 -0.431	  0.010	  0.015	  0.131	    4.0	    418
NGC 6218 (M 12)        	251.809	 -1.949	    4.8	  -41.2	    0.2	 -0.149	 -6.776	  0.005	  0.004	  0.270	   10.0	   9803
2MASS-GC03 (FSR 1735)  	253.044	-47.058	   10.8	    5.0	   10.0	 -5.016	 -0.192	  0.095	  0.088	 -0.260	    2.0	     49
NGC 6235               	253.355	-22.177	   11.5	   87.3	    3.4	 -3.971	 -7.618	  0.013	  0.008	  0.247	    4.0	    797
NGC 6254 (M 10)        	254.288	 -4.100	    4.4	   74.0	    0.2	 -4.728	 -6.551	  0.005	  0.004	  0.142	   15.0	  12933
NGC 6256               	254.886	-37.121	   10.3	  -99.6	    1.1	 -3.649	 -1.507	  0.023	  0.019	 -0.019	    3.0	    229
Pal 15                 	254.963	 -0.539	   45.1	   68.9	    1.1	 -0.569	 -0.856	  0.043	  0.031	  0.097	    4.0	    104
NGC 6266 (M 62)        	255.303	-30.114	    6.8	  -74.5	    0.7	 -5.058	 -3.020	  0.013	  0.011	  0.109	   12.0	   4233
NGC 6273 (M 19)        	255.657	-26.268	    8.8	  145.3	    0.5	 -3.241	  1.671	  0.009	  0.007	  0.152	    8.0	   3717
