# Name                 	Mass	RA	DEC	D	Vlos	PMRA	PMDEC	rmaxdegr	 radius	Nmember
#                      	[Msun]	    deg	    deg	    kpc	   km/s	 mas/yr	 mas/yr	deg	 arcmin	dimless
NGC 5139 (omega Cen)   	3.55E+06	201.7876	-47.4515	5.2	235.12	-3.1925	-6.7445	1.09	40	68783
NGC 6715 (M 54)        	1.41E+06	283.764	-30.48	26.5	142.3	-2.714	-1.379	0.1	6	2505
NGC 6441               	1.23E+06	267.554	-37.066	11.6	17.1	-2.5394	-5.301	0.12	6	1961
NGC 6388               	1.06E+06	264.0654	-44.7423	9.9	80	-1.3548	-2.7144	0.11	6	2235
NGC 2419               	9.81E+05	114.535	38.882	82.6	-20.6	-0.027	-0.534	0.08	5	826
NGC 104 (47 Tuc)       	7.79E+05	6.0194	-72.0821	4.5	-18.95	5.2477	-2.5189	0.9	40	63313
NGC 5824               	7.79E+05	225.994	-33.068	32.1	-25.5	-1.184	-2.227	0.07	4	894
NGC 6402 (M 14)        	7.74E+05	264.3984	-3.2473	9.3	-60.7	-3.6146	-5.0357	0.2	8	3674
NGC 2808               	7.42E+05	138.0071	-64.8645	9.6	104.61	1.0032	0.2785	0.39	12	8385
NGC 6266 (M 62)        	7.07E+05	255.2821	-30.0938	6.8	-74.86	-5.3269	-2.9818	0.17	12	4233
NGC 6273 (M 19)        	6.80E+05	255.6561	-26.2696	8.8	141.29	-3.2237	1.6059	0.21	8	3717
Liller 1               	6.66E+05	263.352	-33.389	8.2	58.2	-5.53	-7.687	0.02	1.2	11
NGC 6864 (M 75)        	5.86E+05	301.5205	-21.9213	20.9	-185.33	-0.5869	-2.7839	0.05	4	989
NGC 7089 (M 2)         	5.82E+05	323.3497	-0.8177	11.5	-4.79	3.4911	-2.1501	0.2	8	4272
Terzan 5 (Terzan 11)   	5.66E+05	267.02	-24.779	6.9	-82.3	-1.71	-4.698	0.03	2	542
NGC 6284               	5.51E+05	256.1187	-24.7662	15.3	30.29	-3.1882	-2.0479	0.1	3	470
NGC 6205 (M 13)        	4.53E+05	250.4217	36.4596	7.1	-245.62	-3.1762	-2.5876	0.58	15	16325
NGC 7078 (M 15)        	4.53E+05	322.4949	12.1661	10.4	-105.58	-0.6238	-3.796	0.4	10	7403
NGC 6440               	4.42E+05	267.2028	-20.3521	8.5	-72.58	-1.2135	-3.883	0.09	3	674
NGC 6656 (M 22)        	4.16E+05	279.1048	-23.9102	3.2	-147.6	9.8019	-5.5643	0.85	20	17895
NGC 5286               	4.01E+05	206.6136	-51.3723	11.7	56.8	0.1836	-0.1477	0.16	6	2066
NGC 6356               	3.98E+05	260.8898	-17.8128	15.1	37.6	-3.7683	-3.3746	0.09	6	1421
NGC 5272 (M 3)         	3.94E+05	205.5486	28.376	10.2	-146.48	-0.1127	-2.6274	0.47	20	12391
NGC 6522               	3.92E+05	270.8956	-30.035	7.7	-17.26	2.578	-6.3412	0.09	3	274
NGC 5694               	3.83E+05	219.901	-26.539	35	-139.4	-0.44	-1.088	0.05	3	245
NGC 5024 (M 53)        	3.80E+05	198.2262	18.1661	17.9	-64.33	-0.1466	-1.3514	0.26	10	4784
