# Name                 	     RA	    DEC	      D	   Vlos	   PMRA	  PMDEC	 radius	  ePMRA	 ePMDEC	 corrPM		Nmember	  eVlos
#                      	    deg	    deg	    kpc	   km/s	 mas/yr	 mas/yr	 arcmin	 mas/yr	 mas/yr	dimless		dimless	   km/s
NGC 104 (47 Tuc)       	6.024	-72.081	4.5	-17.2	5.261	-2.517	40	0.002	0.002	-0.027		63313	0.1
NGC 1851               	78.528	-40.047	12.1	320.2	2.138	-0.628	10	0.007	0.007	-0.101		4639	0.2
NGC 1904 (M 79)        	81.046	-24.525	12.9	205.6	2.475	-1.574	8	0.006	0.007	-0.033		2747	0.2
NGC 2298               	102.248	-36.005	10.8	144.7	3.281	-2.191	6	0.006	0.006	0.031		1492	0.4
NGC 2808               	138.013	-64.864	9.6	103.7	1.018	0.27	12	0.006	0.006	-0.076		8385	0.3
NGC 288                	13.188	-26.583	8.9	-44.8	4.243	-5.642	8	0.005	0.004	0.198		6166	0.1
NGC 3201               	154.403	-46.412	4.9	494.3	8.336	-1.982	20	0.003	0.003	0.09		19316	0.1
NGC 362                	15.809	-70.849	8.6	223.5	6.721	-2.519	12	0.007	0.005	-0.04		6388	0.3
NGC 4372               	186.439	-72.659	5.8	75.3	-6.384	3.355	12	0.004	0.004	0.02		11153	0.3
NGC 4590 (M 68)        	189.867	-26.744	10.3	-93.2	-2.768	1.79	8	0.006	0.005	-0.317		3687	0.2
NGC 4833               	194.891	-70.876	6.6	202	-8.356	-0.961	10	0.005	0.005	0.103		5776	0.4
NGC 5024 (M 53)        	198.23	18.168	17.9	-63.1	-0.151	-1.35	10	0.006	0.004	-0.261		4784	0.2
NGC 5053               	199.113	17.7	17.4	42.5	-0.353	-1.257	6	0.009	0.007	-0.334		1942	0.2
NGC 5139 (omega Cen)   	201.697	-47.48	5.2	232.7	-3.215	-6.761	40	0.003	0.003	-0.119		68783	0.2
NGC 5272 (M 3)         	205.548	28.377	10.2	-147.2	-0.094	-2.626	20	0.004	0.003	-0.064		12391	0.2
NGC 5286               	206.612	-51.374	11.7	62.2	0.221	-0.163	6	0.009	0.009	-0.026		2066	0.4
NGC 5466               	211.364	28.534	16	106.9	-5.405	-0.8	8	0.005	0.005	0.099		3030	0.1
NGC 5634               	217.405	-5.976	25.2	-16.2	-1.732	-1.523	3	0.011	0.009	-0.01		597	0.5
NGC 5897               	229.352	-21.01	12.5	101.2	-5.408	-3.457	8	0.007	0.006	-0.143		3808	0.2
NGC 5904 (M 5)         	229.638	2.081	7.5	53.8	4.08	-9.867	20	0.004	0.004	-0.037		14254	0.2
NGC 5927               	232.003	-50.673	7.7	-104.1	-5.064	-3.207	8	0.01	0.009	-0.11		3029	0.3
NGC 5946               	233.869	-50.66	10.6	128.4	-5.294	-1.626	4	0.016	0.014	-0.155		468	1.8
NGC 5986               	236.512	-37.786	10.4	101	-4.186	-4.573	6	0.01	0.008	-0.154		2482	0.4
NGC 6093 (M 80)        	244.26	-22.976	10	11.2	-2.941	-5.588	6	0.012	0.01	0.008		2309	0.4
NGC 6121 (M 4)         	245.897	-26.526	2.2	71	-12.484	-18.983	20	0.005	0.004	0.023		18796	0.1
NGC 6144               	246.808	-26.023	8.9	196	-1.736	-2.631	4	0.009	0.007	0.085		1478	0.7
NGC 6171 (M 107)       	248.133	-13.054	6.4	-34.7	-1.909	-5.976	6	0.008	0.006	-0.04		4274	0.2
NGC 6205 (M 13)        	250.422	36.46	7.1	-244.4	-3.172	-2.586	15	0.004	0.005	0.152		16325	0.3
NGC 6218 (M 12)        	251.809	-1.949	4.8	-41.2	-0.149	-6.776	10	0.005	0.004	0.27		9803	0.2
NGC 6235               	253.355	-22.177	11.5	87.3	-3.971	-7.618	4	0.013	0.008	0.247		797	3.4
NGC 6254 (M 10)        	254.288	-4.1	4.4	74	-4.728	-6.551	15	0.005	0.004	0.142		12933	0.2
NGC 6266 (M 62)        	255.303	-30.114	6.8	-74.5	-5.058	-3.02	12	0.013	0.011	0.109		4233	0.7
NGC 6273 (M 19)        	255.657	-26.268	8.8	145.3	-3.241	1.671	8	0.009	0.007	0.152		3717	0.5
NGC 6284               	256.119	-24.765	15.3	29	-3.192	-2.035	3	0.015	0.013	0.103		470	0.7
NGC 6287               	256.288	-22.708	9.4	-288.7	-4.98	-1.886	4	0.011	0.008	0.066		1035	3.5
NGC 6293               	257.543	-26.582	9.5	-142.6	0.882	-4.314	4	0.014	0.012	0.106		664	0.4
NGC 6304               	258.634	-29.462	5.9	-108.2	-4.039	-1.043	3	0.017	0.014	0.16		461	0.4
NGC 6316               	259.155	-28.14	10.4	99.1	-4.942	-4.598	3	0.021	0.018	0.117		398	0.8
NGC 6325               	259.497	-23.766	7.8	29.8	-8.42	-9.019	3	0.023	0.018	0.106		331	1.8
NGC 6333 (M 9)         	259.797	-18.516	7.9	229.1	-2.214	-3.216	8	0.007	0.006	0.226		2945	7
NGC 6341 (M 92)        	259.281	43.136	8.3	-120.7	-4.923	-0.556	10	0.005	0.006	0.085		7037	0.3
NGC 6342               	260.292	-19.587	8.5	116	-2.93	-7.075	3	0.015	0.013	0.101		496	0.8
NGC 6352               	261.371	-48.422	5.6	-140.1	-2.174	-4.397	8	0.007	0.007	0.101		4027	0.8
NGC 6356               	260.896	-17.813	15.1	37.6	-3.795	-3.388	6	0.01	0.009	0.236		1421	1.2
NGC 6362               	262.979	-67.048	7.6	-14.7	-5.506	-4.747	8	0.003	0.004	0.009		8481	0.2
NGC 6366               	261.934	-5.08	3.5	-120.9	-0.345	-5.141	8	0.007	0.007	0.2		5141	0.2
NGC 6380 (Ton 1)       	263.617	-39.069	10.9	-3.6	-2.099	-3.135	2	0.021	0.018	-0.112		290	2.5
NGC 6388               	264.072	-44.736	9.9	83.4	-1.319	-2.698	6	0.01	0.009	0.021		2235	0.5
NGC 6397               	265.175	-53.674	2.3	18.4	3.301	-17.61	25	0.004	0.004	-0.031		22209	0.1
NGC 6401               	264.652	-23.91	10.6	-65	-2.827	1.456	3	0.015	0.013	0.081		302	8.6
