,Name,alpha,varpi,mu_alpha,mu_delta,C_varpimu_alpha,C_mu_alphamu_delta,nMemb,Vrad,uwsd_Vr,ClustId,delta,epsilon_varpi,epsilon_mualpha,epsilon_mudelta,C_varpimu_delta,rmaxdegr,uwsd_astr,epsilon_Vr,N_Vr
0,NGC0104,6.0194,0.1959,5.2477,-2.5189,-0.01,-0.06,60093.0,-18.95,11.55,C0021-723,-72.0821,0.0002,0.0016,0.0015,-0.01,0.9,0.79,0.42,229.0
1,NGC0288,13.1879,0.1401,4.2385,-5.6470,0.15,0.25,5897.0,-49.06,2.87,C0050-268,-26.5858,0.0021,0.0035,0.0026,-0.13,0.33,0.99,0.32,11.0
2,NGC0362,15.8099,0.0788,6.6954,-2.5184,-0.04,-0.09,6896.0,226.93,6.06,C0100-711,-70.8489,0.0012,0.0045,0.0034,-0.12,0.39,1.23,0.77,19.0
3,NGC1851,78.5280,0.0298,2.1308,-0.6220,0.06,-0.09,4044.0,323.36,3.74,C0512-400,-40.0456,0.0011,0.0037,0.004,-0.07,0.28,1.07,1.04,17.0
4,NGC1904,81.0463,0.0362,2.4702,-1.5603,0.05,-0.03,2363.0,206.43,2.94,C0522-245,-24.5255,0.0017,0.0048,0.0054,0.04,0.14,1.14,0.87,14.0
5,NGC2298,102.2464,0.0791,3.2762,-2.1913,0.08,0.07,1373.0,147.41,1.54,C0647-359,-36.0046,0.0019,0.0060,0.0061,-0.07,0.16,1.06,1.4,4.0
6,NGC2808,138.0071,0.0560,1.0032,0.2785,0.05,-0.08,6769.0,104.61,5.33,C0911-646,-64.8645,0.0006,0.0032,0.0032,-0.01,0.39,0.87,1.26,20.0
7,NGC3201,154.3987,0.1724,8.3344,-1.9895,0.04,0.12,19921.0,494.62,5.09,C1015-461,-46.4125,0.0006,0.0021,0.002,-0.02,0.98,0.97,0.37,64.0
8,NGC4372,186.4587,0.1426,-6.3898,3.3266,0.03,0.01,10744.0,77.41,5.5,C1223-724,-72.6562,0.0006,0.0030,0.0025,0.03,0.46,0.83,0.58,42.0
9,NGC4590,189.8651,0.0664,-2.7640,1.7916,-0.0,-0.29,3338.0,,,C1236-264,-26.7454,0.0025,0.0050,0.0039,0.13,0.24,0.99,,0.0
